,ascendex,gateio,binance,kucoin,ftx,cryptocom
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.39645960330963137,0.005413341522216797,0.04638066291809082,0.047467613220214845,0.046416497230529784,0.035781574249267575
std,0.013828099767342745,0.0017838277857852949,0.012372345739575744,0.007097672855543692,0.03966547149602976,0.007259049203811343
min,0.36164212226867676,0.004613637924194336,0.011993885040283203,0.03536629676818848,0.02710270881652832,0.02893972396850586
25%,0.3930068612098694,0.004685819149017334,0.04950106143951416,0.04449349641799927,0.029144644737243652,0.030853688716888428
50%,0.40165889263153076,0.004727363586425781,0.05013847351074219,0.048317670822143555,0.036400794982910156,0.03389573097229004
75%,0.4025968313217163,0.005073726177215576,0.05084627866744995,0.0533871054649353,0.03867226839065552,0.038319945335388184
max,0.4097721576690674,0.010401725769042969,0.05521845817565918,0.05601930618286133,0.1584339141845703,0.05385088920593262
