,ascendex,gateio,binance,kucoin,ftx,cryptocom
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.4598752498626709,0.14971466064453126,0.2323244333267212,0.17123870849609374,0.24117987155914306,0.18823275566101075
std,0.26214392006114406,0.0006284692821651161,0.1566999299038742,0.01707509892851931,0.04930890554706074,0.017745218378182458
min,0.14924001693725586,0.14928984642028809,0.10715579986572266,0.15063214302062988,0.21371006965637207,0.1638333797454834
25%,0.3906558156013489,0.14936864376068115,0.10980063676834106,0.15512418746948242,0.21524697542190552,0.17290472984313965
50%,0.4061436653137207,0.14948046207427979,0.11491537094116211,0.17205536365509033,0.21825194358825684,0.18964159488677979
75%,0.4200577735900879,0.14976906776428223,0.4133431911468506,0.18536484241485596,0.2247675657272339,0.20101457834243774
max,0.9412837028503418,0.15136957168579102,0.41619038581848145,0.1959395408630371,0.3413667678833008,0.21679210662841797
