,ascendex,gateio,binance,kucoin,ftx,cryptocom
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.3974849939346313,0.07750906944274902,0.0813589334487915,0.09222242832183838,0.1454538583755493,0.1731809139251709
std,0.0902856536888868,0.0078443514698911,0.002224329647088103,0.004368992056919804,0.08310702532465501,0.07055165365376458
min,0.2129228115081787,0.0735776424407959,0.07775759696960449,0.08594202995300293,0.10689806938171387,0.12444615364074707
25%,0.39091092348098755,0.07382619380950928,0.07989615201950073,0.08919095993041992,0.11664915084838867,0.13485825061798096
50%,0.39917290210723877,0.07407522201538086,0.0815436840057373,0.09253203868865967,0.11706745624542236,0.14061975479125977
75%,0.40563708543777466,0.07443714141845703,0.08296757936477661,0.09529054164886475,0.1218031644821167,0.16197174787521362
max,0.5901882648468018,0.09703946113586426,0.0847165584564209,0.0980682373046875,0.3802793025970459,0.30736613273620605
