,ascendex,gateio,binance,kucoin,ftx,cryptocom
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.3949760913848877,0.004554247856140137,0.04618842601776123,0.04741890430450439,0.03136265277862549,0.04311351776123047
std,0.01903224032653519,0.001510979920029773,0.012994657240665982,0.01080558535796881,0.0036510894273923747,0.010363817735594793
min,0.3421661853790283,0.0038955211639404297,0.009290456771850586,0.026856422424316406,0.027278661727905273,0.029757022857666016
25%,0.3966127038002014,0.0040343403816223145,0.04974937438964844,0.0441853404045105,0.028224825859069824,0.03559410572052002
50%,0.39937496185302734,0.004070162773132324,0.04996800422668457,0.0481417179107666,0.03035116195678711,0.03901064395904541
75%,0.40411633253097534,0.00409168004989624,0.05040377378463745,0.05206078290939331,0.03446149826049805,0.0511624813079834
max,0.40799975395202637,0.008839607238769531,0.05248451232910156,0.06809520721435547,0.03757476806640625,0.06203937530517578
