,ascendex,gateio,binance,kucoin,ftx,cryptocom
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.39634954929351807,0.004517364501953125,0.04600372314453125,0.04819331169128418,0.04893038272857666,0.035562324523925784
std,0.015418587104045428,0.001166746722613101,0.013259531396921478,0.015587046054090382,0.0363537950366202,0.004371295787653409
min,0.361830472946167,0.004015684127807617,0.008328437805175781,0.02822256088256836,0.025378942489624023,0.029944896697998047
25%,0.3904273509979248,0.004061996936798096,0.04958885908126831,0.0323714017868042,0.028117656707763672,0.0323033332824707
50%,0.397121787071228,0.004180788993835449,0.05017745494842529,0.05029499530792236,0.03275012969970703,0.035347819328308105
75%,0.4052733778953552,0.004221856594085693,0.0505293607711792,0.062225520610809326,0.04277849197387695,0.038092851638793945
max,0.4148895740509033,0.007823705673217773,0.05151724815368652,0.06821608543395996,0.12895464897155762,0.044246673583984375
