,ascendex,gateio,binance,kucoin,ftx,cryptocom
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.39972875118255613,0.14768366813659667,0.2005249261856079,0.23110971450805665,0.29537086486816405,0.19677069187164306
std,0.025058132225248476,0.0034254924995324614,0.14701483976165047,0.1717118349754359,0.18347974719523405,0.012853064151071973
min,0.3584260940551758,0.14634156227111816,0.10767221450805664,0.16485166549682617,0.2104625701904297,0.17276978492736816
25%,0.37986326217651367,0.146420419216156,0.10929375886917114,0.17309975624084473,0.21507573127746582,0.19334375858306885
50%,0.39953064918518066,0.14655053615570068,0.10956227779388428,0.1753448247909546,0.21691393852233887,0.19509446620941162
75%,0.4227558970451355,0.146709144115448,0.3335897922515869,0.18441450595855713,0.22636443376541138,0.19946318864822388
max,0.42865800857543945,0.1573948860168457,0.4187164306640625,0.719414472579956,0.7775461673736572,0.2204570770263672
