,ascendex,gateio,binance,kucoin,ftx,cryptocom
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.3956847429275513,0.07240619659423828,0.0813910961151123,0.12970347404479982,0.11399486064910888,0.16410136222839355
std,0.016625763980316666,0.005324049647867929,0.003459785368324784,0.060905576844294,0.008069868584656232,0.07796161285167852
min,0.36983537673950195,0.06860518455505371,0.07749748229980469,0.10274910926818848,0.1049189567565918,0.11639070510864258
25%,0.3865407705307007,0.06902176141738892,0.07859313488006592,0.10667520761489868,0.10767906904220581,0.11988264322280884
50%,0.3981494903564453,0.06984806060791016,0.08042871952056885,0.10890030860900879,0.11378145217895508,0.126953125
75%,0.40575969219207764,0.07311218976974487,0.08449292182922363,0.1164214015007019,0.117159903049469,0.1527796983718872
max,0.422788143157959,0.0853426456451416,0.08643794059753418,0.3019449710845947,0.12674498558044434,0.31224679946899414
