,ascendex,gateio,binance,kucoin,ftx,cryptocom
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.3962922811508179,0.07650208473205566,0.08374450206756592,0.08873591423034669,0.12542290687561036,0.15809028148651122
std,0.010485628220917944,0.0015046402282641739,0.002718641323336007,0.0028938234534155987,0.0029747484167543157,0.05524071400876871
min,0.37494635581970215,0.07552003860473633,0.07863998413085938,0.0838770866394043,0.12070178985595703,0.12111353874206543
25%,0.3919239640235901,0.07564395666122437,0.08202391862869263,0.08718627691268921,0.12316572666168213,0.13189518451690674
50%,0.3974721431732178,0.07574069499969482,0.08453667163848877,0.08905279636383057,0.12597906589508057,0.13511216640472412
75%,0.4012625813484192,0.07631099224090576,0.08593690395355225,0.09006959199905396,0.12753206491470337,0.16104066371917725
max,0.4147155284881592,0.07933974266052246,0.08650803565979004,0.09407734870910645,0.1293034553527832,0.30574584007263184
